n,entry_time,direction,mode,entry_price,stop_loss,take_profit,rr_target,outcome,realized_r,level_price,level_touches,session,decision,reason,notes
30,2026-05-28 01:30,short,continuation,4422.95,4461.813,4306.361,3.0,loss,-1.04,4429.418,2,asia,skip,same reason as trade #29,
31,2026-05-28 14:40,long,continuation,4468.0,4413.353,4631.942,3.0,timeout,1.76,4462.56,2,london_ny,take,good trades but what is killing us the the expected % in price so in this scenario I would have placed my stop loss below the newly respected support level so my stop loss would be 4448 and take profit would be 3x that and the reason this trade is okay is because you are not making a prediction as price has already broke the respected resistant level which turned it into a good support level to retest off which it did,
32,2026-05-28 15:00,long,continuation,4473.49,4413.471,4653.546,3.0,timeout,1.49,4466.855,2,london_ny,take,same reasons as to why I took trade #31,
33,2026-05-29 07:30,long,continuation,4522.71,4500.333,4589.84,3.0,win,2.95,4520.782,3,london_ny,take,good entry and good trade and good stop loss and good take profit besides the level being above the strong resistant level but just a but and for the stop loss when we are using a respected support or resistant level its okay to place your stop loss based on that,
34,2026-05-29 15:10,long,continuation,4588.85,4521.466,4791.003,3.0,loss,-1.03,4580.169,4,london_ny,skip,again you are making a prediction that price will break the resistant level and come back down to rest and another thing I need to make clear WE DO NOT TRADE FALSE BREAKOUTS they are misleading so ignore then so if price breaks out then breaks back in immediately which results in long wicks being formed we don't trade them,
35,2026-06-01 02:50,short,continuation,4521.595,4536.935,4475.575,3.0,win,2.9,4525.88,3,asia,take,not a bad trade and the stop loss and take profits were placed appropriately with a price movement of -1.04% which is the kind of trade I would make,
36,2026-06-01 08:00,short,continuation,4494.235,4527.597,4394.148,3.0,loss,-1.05,4499.482,2,london_ny,take,not a bad trade but the wide stop loss and take profit keeps allowing us to lose money on these trades so like I said before in a csnario like this where price has broke a respected support line and come back to retest it turning it into a resistance we can place stop loss there OR we place it on the most recent high loe that was formed which would have put our stop loss at 4510.994,
37,2026-06-02 07:10,long,continuation,4539.38,4514.488,4614.057,3.0,loss,-1.05,4535.552,2,london_ny,skip,this trade was entered at a level that was touched and did not break so unless price breaks the price that was touched on 1st June at 00:50 am then we would not be entering this trade,
38,2026-06-02 07:40,long,continuation,4531.735,4514.452,4583.583,3.0,loss,-1.07,4528.155,2,london_ny,skip,same reason as trade #37,
39,2026-06-02 23:20,short,reversal,4467.635,4494.899,4385.842,3.0,loss,-1.07,4473.38,3,asia,skip,price has not broken as respected support or resistance  but instead it has just come down to a level which was touched before on 1st June 15:20 which makes it a respected level so techincially we are waiting for price to break that support level then coming back to retest then we enter the trade,
40,2026-06-03 00:00,short,range,4476.755,4495.306,4421.103,3.0,loss,-1.11,4482.752,3,asia,skip,same reason as trade #39,
41,2026-06-03 06:20,short,continuation,4462.785,4476.598,4421.344,3.0,loss,-1.12,4463.002,4,london_ny,take,not a bad trade as price broke the resistance level I mentioned before then came to retest and then the algo entered the trade which was good and take profit and stop loss were placed appropriately so its a shame the trade was unsuccessful but overall a good trade,
42,2026-06-04 01:40,long,continuation,4466.09,4440.538,4542.745,3.0,loss,-1.08,4459.262,2,asia,take,good trade as price broke a resistant line which turned it into a support line then came to retest but again the stop loss and take profit are way too wide so since we are playing with strong resistant and support level then like I mentioned before the stop loss should go just below the support level so around 4455,
43,2026-06-04 02:40,long,continuation,4470.445,4440.609,4559.954,3.0,loss,-1.07,4467.543,3,asia,take,same reasoning as the trade #42,
44,2026-06-04 11:30,long,continuation,4488.375,4462.386,4566.343,3.0,loss,-1.05,4488.147,3,london_ny,take,Not a bad trade as we can see that price looked like it was beginning an uptrend and then price even broke the newly create higher high and came back down to retest and then the algo entered the trade which isn't bad,
45,2026-06-04 12:00,long,continuation,4498.425,4461.704,4608.588,3.0,loss,-1.03,4496.212,2,london_ny,take,same as the trade before which was trade #44,
46,2026-06-04 12:00,long,continuation,4498.425,4461.704,4608.588,3.0,loss,-1.03,4493.01,3,london_ny,take,same as the trade before so trade #44 and #45 but again the % expectation for this trade is still too high,
47,2026-06-04 13:30,long,range,4509.37,4461.234,4653.777,3.0,loss,-1.02,4508.202,2,london_ny,take,same as  trade #44 and #45 but again the % expectation for this trade is still too high,
48,2026-06-05 00:20,short,range,4457.64,4483.448,4380.216,3.0,win,2.94,4458.593,2,asia,take,Very good trades as price broke the resistant level we have mentioned previously then came back to retest and stop loss and take profit placements were good,
49,2026-06-05 01:30,short,continuation,4449.745,4484.189,4346.412,3.0,win,2.95,4456.495,2,asia,take,same reasoning as trade #48,
50,2026-06-05 01:40,short,continuation,4446.635,4472.616,4368.693,3.0,loss,-1.06,4451.255,2,asia,take,same reasoning as trade #48,
51,2026-06-05 13:10,short,range,4417.865,4479.303,4233.551,3.0,timeout,1.54,4425.782,2,london_ny,take,not bad but it did not make a clean retest either but excluding that the trade wasn't bad but what was bad was the placement for stop loss and take profit as the price % expectation again is too high nearly touching a 4% movement just for that trade,
52,2026-06-05 14:00,short,range,4374.895,4480.755,4057.316,3.0,timeout,0.43,4381.955,2,london_ny,take,riding the wave of the downtrend shown by trade #51 so its not a bad entry even though its not breaking and retesting any prices HOWEVER again the range is too high for the stop loss and take profit we will not be making profits with such unrealistic movement in price which here is -7%,
53,2026-06-05 14:10,short,range,4369.405,4480.853,4035.062,3.0,timeout,0.33,4374.782,2,london_ny,take,same as trade #52,
54,2026-06-05 14:30,short,range,4348.685,4481.28,3950.9,3.0,timeout,0.08,4366.722,2,london_ny,take,same as trade #52,
55,2026-06-05 15:30,short,continuation,4340.2,4480.643,3918.872,3.0,timeout,-0.02,4351.222,2,london_ny,take,same as trade #52,
56,2026-06-08 11:20,long,reversal,4325.335,4269.857,4491.769,3.0,timeout,0.17,4321.435,2,london_ny,skip,yes price has broken the recent lower high but for a trade like this I would want price to break a more significant lower high for extra confirmation so if price broke the price 4351.710 then came back for a retest then that would be good confirmation to enter the trade for a long position espectially because price has been in a downtrend so in order to get that reversal we would be looking for price to break a price like 4351.710 instead,
57,2026-06-08 12:50,long,continuation,4333.34,4317.471,4380.947,3.0,loss,-1.08,4331.438,2,london_ny,skip,same reason as trade #56,
58,2026-06-09 15:50,short,range,4272.46,4369.445,3981.506,3.0,timeout,0.0,4279.6,2,london_ny,take,very good entry so price break the 4280.375 level which was the actually previous lower low level then came back to retest which makes that price a good resitant level to respect however the stop loss and take profit are too big in expectations as since we are now respecting a resistant level the short position I would have entered would have been stop loss placed at 4286.754 and take profit placed at 4212.520,
59,2026-06-09 15:50,short,range,4272.46,4369.445,3981.506,3.0,timeout,0.0,4273.525,2,london_ny,take,same reasoning as trade #58,
60,2026-06-09 16:10,short,range,4254.565,4368.796,3911.871,3.0,timeout,-0.15,4268.628,2,london_ny,take,same reasoning as trade #58,
